School Name,Quality Score,Letter Grade,ZIP Code,Academic Score,Resources Score,Equity Score,Outcomes Score,Strengths,Areas for Improvement
DEERWOOD ACADEMY,20.3,F,30331,22.0,18.0,14.000000000000002,25.0,"Academic, Outcomes","Resources, Equity"
DEKALB BRILLIANCE ACADEMY,20.8,F,30037,23.0,16.0,8.0,38.0,"Academic, Outcomes","Resources, Equity"
DEKALB ELEMENTARY SCHOOL OF THE ARTS,26.1,D,30002,28.000000000000004,15.0,24.0,38.0,"Academic, Outcomes","Resources, Equity"
DEKALB PATH ACADEMY CHARTER SCHOOL,29.4,C,30319,25.0,11.0,18.0,88.0,"Academic, Outcomes","Resources, Equity"
DEKALB PREPARATORY ACADEMY CHARTER,27.4,C,30032,24.0,17.0,32.0,50.0,"Equity, Outcomes","Academic, Resources"
DEKALB REGIONAL YOUTH DETENTION CENTER,20.3,F,30034,21.0,13.0,13.0,38.0,"Academic, Outcomes","Resources, Equity"
DEKALB SCHOOL OF THE ARTS,20.7,F,30002,22.0,12.0,7.000000000000001,50.0,"Academic, Outcomes","Resources, Equity"
DEPARTMENT OF HUMAN RESOURCES,20.6,F,30303,21.0,15.0,13.0,38.0,"Academic, Outcomes","Resources, Equity"
DESTINATIONS CAREER ACADEMY OF GEORGIA (VIRTUAL),25.0,D,30339,30.0,13.0,17.0,38.0,"Academic, Outcomes","Resources, Equity"
DRUID HILLS HIGH SCHOOL,27.2,C,30307,22.0,14.000000000000002,38.0,50.0,"Equity, Outcomes","Academic, Resources"
DRUID HILLS MIDDLE SCHOOL,31.9,B,30033,37.0,13.0,34.0,38.0,"Academic, Outcomes","Resources, Equity"
E. RIVERS ELEMENTARY SCHOOL,25.2,D,30305,26.0,14.000000000000002,17.0,50.0,"Academic, Outcomes","Resources, Equity"
EMMA HUTCHINSON ELEMENTARY SCHOOL,19.2,F,30315,21.0,18.0,12.0,25.0,"Academic, Outcomes","Resources, Equity"
ETHOS CLASSICAL CHARTER SCHOOL,27.2,C,30315,32.0,15.0,21.0,38.0,"Academic, Outcomes","Resources, Equity"
F. L. STANTON ELEMENTARY SCHOOL,20.2,F,30314,21.0,19.0,8.0,38.0,"Academic, Outcomes","Resources, Equity"
FERNBANK ELEMENTARY SCHOOL,28.0,C,30307,27.0,9.0,9.0,88.0,"Academic, Outcomes","Resources, Equity"
FIFTH AVENUE UPPER ELEMENTARY SCHOOL,26.5,C,30030,30.0,9.0,3.0,75.0,"Academic, Outcomes","Resources, Equity"
FINCH ELEMENTARY,20.7,F,30310,22.0,21.0,14.000000000000002,25.0,"Academic, Outcomes","Resources, Equity"
FLAT SHOALS ELEMENTARY SCHOOL,20.6,F,30034,26.0,13.0,22.0,12.0,"Academic, Equity","Resources, Outcomes"
FRED A. TOOMER ELEMENTARY SCHOOL,21.8,D,30317,24.0,19.0,19.0,25.0,"Academic, Outcomes","Resources, Equity"
FREDERICK DOUGLASS HIGH SCHOOL,26.0,D,30318,21.0,25.0,48.0,12.0,"Resources, Equity","Academic, Outcomes"
FULTON ACADEMY OF VIRTUAL EXCELLENCE,20.9,F,30339,24.0,14.000000000000002,10.0,38.0,"Academic, Outcomes","Resources, Equity"
FULTON LEADERSHIP ACADEMY,18.1,F,30344,23.0,12.0,7.000000000000001,25.0,"Academic, Outcomes","Resources, Equity"
GARDEN HILLS ELEMENTARY SCHOOL,24.6,D,30305,25.0,16.0,17.0,50.0,"Academic, Outcomes","Resources, Equity"
GENESIS INNOVATION ACADEMY FOR BOYS,22.1,D,30316,25.0,12.0,15.0,38.0,"Academic, Outcomes","Resources, Equity"
GENESIS INNOVATION ACADEMY FOR GIRLS,23.8,D,30316,26.0,11.0,14.000000000000002,50.0,"Academic, Outcomes","Resources, Equity"
GLENNWOOD ELEMENTARY SCHOOL,24.3,D,30030,28.999999999999996,11.0,2.0,62.0,"Academic, Outcomes","Resources, Equity"
GLOBE ACADEMY CHARTER SCHOOL I,35.0,B,30345,28.999999999999996,18.0,23.0,100.0,"Academic, Outcomes","Resources, Equity"
HAMILTON E. HOLMES ELEMENTARY,24.5,D,30344,25.0,13.0,26.0,38.0,"Equity, Outcomes","Academic, Resources"
